n,degF,degG,degMAX,degOUT,tINITIALISE,tEVALUATE,tMULTIPLY,tCONSTRUCT,tRETURN,tTOTAL,CORRECTNESS
435465768733,32,32,32,64,0,0,0,0,0,0,1
435465768733,64,64,64,128,0,0,0,0,0,0,1
435465768733,128,128,128,256,0,0,0,2,0,3,1
435465768733,29,256,256,285,0,0,0,3,0,3,1
435465768733,256,256,256,512,0,1,0,10,0,11,1
435465768733,285,512,512,797,0,2,0,22,0,25,1
435465768733,512,512,512,1024,0,4,0,37,0,42,1
435465768733,701,701,701,1402,0,6,0,70,0,77,1
435465768733,701,701,701,1402,0,6,0,68,0,75,1
435465768733,701,701,701,1402,0,6,0,68,0,75,1
435465768733,701,701,701,1402,0,6,0,66,0,74,1
435465768733,701,701,701,1402,0,6,0,66,0,73,1
435465768733,701,701,701,1402,0,6,0,67,0,74,1
435465768733,701,701,701,1402,0,6,0,68,0,74,1
435465768733,701,701,701,1402,0,6,0,67,0,74,1
435465768733,701,701,701,1402,0,6,0,69,0,76,1
435465768733,701,701,701,1402,0,6,0,69,0,76,1
435465768733,701,701,701,1402,0,6,0,69,0,76,1
435465768733,701,701,701,1402,0,6,0,66,0,73,1
435465768733,701,701,701,1402,0,6,0,67,0,73,1
435465768733,701,701,701,1402,0,6,0,68,0,75,1
435465768733,701,701,701,1402,0,6,0,68,0,75,1
435465768733,701,701,701,1402,0,6,0,69,0,76,1
435465768733,701,701,701,1402,0,6,0,69,0,76,1
435465768733,701,701,701,1402,0,6,0,67,0,74,1
435465768733,701,701,701,1402,0,6,0,67,0,74,1
435465768733,701,701,701,1402,0,6,0,68,0,75,1
435465768733,701,701,701,1402,0,6,0,67,0,74,1
435465768733,701,701,701,1402,0,6,0,66,0,73,1
435465768733,701,701,701,1402,0,6,0,66,0,72,1
435465768733,701,701,701,1402,0,6,0,67,0,74,1
435465768733,701,701,701,1402,0,6,0,67,0,73,1
435465768733,701,701,701,1402,0,6,0,68,0,76,1
435465768733,701,701,701,1402,0,6,0,66,0,72,1
435465768733,701,701,701,1402,0,6,0,66,0,73,1
435465768733,701,701,701,1402,0,6,0,66,0,73,1
435465768733,701,701,701,1402,0,6,0,66,0,73,1
435465768733,701,701,701,1402,0,6,0,66,0,73,1
435465768733,701,701,701,1402,0,6,0,66,0,73,1
435465768733,701,701,701,1402,0,6,0,66,0,73,1
435465768733,701,701,701,1402,0,6,0,66,0,73,1
435465768733,701,701,701,1402,0,6,0,66,0,73,1
435465768733,701,701,701,1402,0,6,0,66,0,73,1
435465768733,701,701,701,1402,0,6,0,66,0,73,1
435465768733,701,701,701,1402,0,6,0,65,0,72,1
435465768733,701,701,701,1402,0,6,0,66,0,73,1
435465768733,701,701,701,1402,0,6,0,66,0,73,1
435465768733,701,701,701,1402,0,6,0,65,0,72,1
435465768733,701,701,701,1402,0,6,0,66,0,73,1
435465768733,701,701,701,1402,0,6,0,66,0,72,1
1000528294751,0,1,1,1,0,0,0,0,0,0,1
1000528294751,1,1,1,2,0,0,0,0,0,0,1
1000528294751,1,2,2,3,0,0,0,0,0,0,1
1000528294751,2,2,2,4,0,0,0,0,0,0,1
1000528294751,3,4,4,7,0,0,0,0,0,0,1
1000528294751,4,4,4,8,0,0,0,0,0,0,1
1000528294751,7,8,8,15,0,0,0,0,0,0,1
1000528294751,8,8,8,16,0,0,0,0,0,0,1
1000528294751,15,16,16,31,0,0,0,0,0,0,1
1000528294751,16,16,16,32,0,0,0,0,0,0,1
1000528294751,32,32,32,64,0,0,0,0,0,0,1
1000528294751,31,64,64,95,0,0,0,0,0,0,1
1000528294751,64,64,64,128,0,0,0,0,0,0,1
1000528294751,128,128,128,256,0,0,0,2,0,3,1
1000528294751,95,256,256,351,0,0,0,4,0,5,1
1000528294751,256,256,256,512,0,1,0,9,0,11,1
1000528294751,351,512,512,863,0,2,0,27,0,30,1
1000528294751,512,512,512,1024,0,3,0,36,0,41,1
1000528294751,759,759,759,1518,0,7,0,79,0,88,1
1000528294751,759,759,759,1518,0,7,0,82,0,90,1
1000528294751,759,759,759,1518,0,7,0,81,0,89,1
1000528294751,759,759,759,1518,0,7,0,80,0,88,1
1000528294751,759,759,759,1518,0,7,0,81,0,89,1
1000528294751,759,759,759,1518,0,7,0,80,0,88,1
1000528294751,759,759,759,1518,0,7,0,80,0,88,1
1000528294751,759,759,759,1518,0,7,0,80,0,88,1
